time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-0.7000000000000001,0,0.0,131.9,0.0,8726808873,1,0
1,True,0.0,-0.7000000000000001,0,23.3,131.7,23.085195395286476,8726808873,1,0
2,True,0.0,-0.6000000000000001,0,27.3,131.7,27.056126659733962,8726808873,1,0
3,False,0.0,-0.8,0,27.3,131.7,27.056126659733962,8726808873,1,0
4,True,7.793,-0.8,0,31.2,131.7,30.91561678796275,8726808873,1,0
5,True,7.07,-0.5,0,35.3,131.6,34.99485673217627,8726808873,1,0
6,True,3.344,-0.7000000000000001,0,40.0,131.6,39.656769287928476,8726808873,1,0
8,True,3.7199999999999998,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
9,False,2.946,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
10,False,2.11,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
11,False,1.184,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
12,False,0.987,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
13,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
14,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
15,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
16,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
17,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
18,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
19,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
20,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
21,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
22,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
23,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
24,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
25,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
26,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
27,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
28,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
29,False,0.0,0.0,0,45.9,131.6,45.556769287928475,8726808873,1,0
30,True,0.722,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
31,False,0.722,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
32,False,0.722,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
33,False,0.722,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
34,False,0.722,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
35,False,0.0,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
36,False,0.0,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
37,False,0.0,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
38,False,0.0,0.0,0,49.5,131.6,49.156769287928476,8726808873,1,0
39,True,0.61,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
40,False,0.61,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
41,False,0.61,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
42,False,0.61,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
43,False,0.61,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
44,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
45,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
46,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
47,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
48,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
49,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
50,False,0.0,0.0,0,52.6,131.6,52.25676928792848,8726808873,1,0
51,True,0.616,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
52,False,0.616,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
53,False,0.616,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
54,False,0.616,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
55,False,0.616,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
56,False,0.0,0.0,0,55.6,131.6,55.35327491719108,8726808873,1,0
57,False,0.0,0.0,0,55.6,131.6,55.35327491719108,8726808873,1,0
58,False,0.0,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
59,False,0.0,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
60,False,0.0,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
61,False,0.0,1.4,0,55.6,131.6,55.35327491719108,8726808873,1,0
62,True,0.8,0.9,0,59.6,131.6,59.42427846261355,8726808873,1,0
63,False,0.8,0.9,0,59.6,131.7,59.42427846261355,8726808873,1,0
64,False,0.8,0.9,0,59.6,131.7,59.42427846261355,8726808873,1,0
65,False,0.8,0.9,0,59.6,131.7,59.42427846261355,8726808873,1,0
66,False,0.8,0.9,0,59.6,131.7,59.42427846261355,8726808873,1,0
67,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
68,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
69,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
70,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
71,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
72,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
73,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
74,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
75,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
76,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
77,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
78,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
79,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
80,False,0.0,0.0,0,59.6,131.7,59.42427846261355,8726808873,1,0
81,False,0.0,1.3,0,59.6,131.7,59.42427846261355,8726808873,1,0
82,False,0.0,1.3,0,59.6,131.7,59.42427846261355,8726808873,1,0
83,False,0.0,1.3,0,59.6,131.7,59.42427846261355,8726808873,1,0
84,False,0.0,1.3,0,59.6,131.7,59.42427846261355,8726808873,1,0
85,True,0.716,1.3,0,63.2,131.7,63.127958297009954,8726808873,1,0
86,False,0.716,1.3,0,63.2,131.7,63.127958297009954,8726808873,1,0
87,False,0.716,1.3,0,63.2,131.7,63.127958297009954,8726808873,1,0
88,False,0.716,1.3,0,63.2,131.7,63.127958297009954,8726808873,1,0
89,False,0.716,1.3,0,63.2,131.7,63.127958297009954,8726808873,1,0
90,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
91,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
92,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
93,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
94,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
95,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
96,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
97,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
98,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
99,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
100,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
101,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
102,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
103,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
104,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
105,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
106,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
107,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
108,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
109,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
110,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
111,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
112,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
113,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
114,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
115,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
116,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
117,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
118,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
119,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
120,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
121,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
122,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
123,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
124,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
125,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
126,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
127,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
128,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
129,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
130,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
131,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
132,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
133,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
134,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
135,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
136,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
137,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
138,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
139,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
140,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
141,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
142,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
143,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
144,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
145,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
146,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
147,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
148,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
149,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
150,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
151,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
152,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
153,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
154,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
155,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
156,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
157,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
158,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
159,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
160,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
161,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
162,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
163,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
164,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
165,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
166,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
167,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
168,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
169,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
170,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
171,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
172,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
173,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
174,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
175,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
176,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
177,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
178,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
179,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
180,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
181,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
182,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
183,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
184,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
185,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
186,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
187,False,0.0,0.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
188,False,0.0,3.0,0,63.2,131.7,63.127958297009954,8726808873,1,0
189,False,0.0,1.6,0,63.2,131.7,63.127958297009954,8726808873,1,0
190,False,0.0,1.6,0,63.2,131.7,63.127958297009954,8726808873,1,0
191,False,0.0,1.6,0,63.2,131.7,63.127958297009954,8726808873,1,0
192,False,0.0,1.6,0,63.2,131.7,63.127958297009954,8726808873,1,0
193,True,0.674,1.6,0,66.6,131.8,66.65080187945055,8726808873,1,0
194,False,0.674,1.6,0,66.6,131.8,66.65080187945055,8726808873,1,0
195,False,0.674,1.6,0,66.6,131.8,66.65080187945055,8726808873,1,0
196,False,0.674,1.6,0,66.6,131.8,66.65080187945055,8726808873,1,0
197,False,0.674,1.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
198,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
199,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
200,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
201,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
202,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
203,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
204,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
205,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
206,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
207,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
208,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
209,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
210,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
211,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
212,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
213,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
214,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
215,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
216,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
217,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
218,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
219,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
220,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
221,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
222,False,0.0,0.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
223,False,0.0,1.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
224,False,0.0,1.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
225,False,0.0,1.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
226,False,0.0,1.0,0,66.6,131.8,66.65080187945055,8726808873,1,0
227,True,0.612,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
228,False,0.612,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
229,False,0.612,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
230,False,0.612,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
231,False,0.612,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
232,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
233,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
234,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
235,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
236,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
237,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
238,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
239,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
240,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
241,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
242,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
243,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
244,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
245,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
246,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
247,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
248,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
249,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
250,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
251,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
252,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
253,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
254,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
255,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
256,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
257,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
258,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
259,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
260,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
261,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
262,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
263,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
264,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
265,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
266,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
267,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
268,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
269,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
270,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
271,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
272,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
273,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
274,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
275,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
276,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
277,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
278,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
279,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
280,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
281,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
282,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
283,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
284,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
285,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
286,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
287,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
288,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
289,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
290,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
291,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
292,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
293,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
294,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
295,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
296,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
297,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
298,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
299,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
300,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
301,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
302,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
303,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
304,False,0.0,0.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
305,False,0.0,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
306,False,0.0,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
307,False,0.0,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
308,False,0.0,1.0,0,69.7,131.8,69.80992563815889,8726808873,1,0
309,True,0.728,1.0,0,73.3,131.8,73.48073620932779,8726808873,1,0
310,False,0.728,1.0,0,73.3,131.8,73.48073620932779,8726808873,1,0
311,False,0.728,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
312,False,0.728,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
313,False,0.728,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
314,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
315,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
316,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
317,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
318,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
319,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
320,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
321,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
322,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
323,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
324,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
325,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
326,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
327,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
328,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
329,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
330,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
331,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
332,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
333,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
334,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
335,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
336,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
337,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
338,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
339,False,0.0,0.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
340,False,0.0,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
341,False,0.0,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
342,False,0.0,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
343,False,0.0,1.0,0,73.3,131.9,73.48073620932779,8726808873,1,0
344,True,0.642,0.8,0,76.5,131.9,76.72195915938497,8726808873,1,0
345,False,0.642,0.8,0,76.5,131.9,76.72195915938497,8726808873,1,0
346,False,0.642,0.8,0,76.5,131.9,76.72195915938497,8726808873,1,0
347,False,0.642,0.8,0,76.5,131.9,76.72195915938497,8726808873,1,0
348,False,0.642,0.8,0,76.5,131.9,76.72195915938497,8726808873,1,0
349,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
350,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
351,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
352,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
353,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
354,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
355,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
356,False,0.0,0.0,0,76.5,131.9,76.72195915938497,8726808873,1,0
